RegiÛn y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÕNDICE
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;
;;;De menos de 1 aÒo de edad (Terneros);De 1 aÒo a menos de 2 aÒos de edad (Toretes);De 2 o m·s aÒos de edad (Toros) ;;De menos de 1 aÒo de edad (Terneras);De 1 aÒo a menos de 2 aÒos de edad (Vaconas);De 2 o m·s aÒos de edad (Vacas);;
TOTAL NACIONAL;261.863;175.695;64.546;86.899;24.249;86.169;25.223;31.102;29.844;;
REGI”N SIERRA;206.387;139.640;51.097;68.995;19.548;66.747;22.109;21.698;22.940;;
REGI”N COSTA;36.328;19.160;5.037;9.918;4.205;17.168;2.742;8.361;6.064;;
REGI”N AMAZ”NICA;18.978;16.736;8.412;7.827;496;2.242;371;1.031;839;;
ZONA NO DELIMITADA;170;158;;158;;11;;11;;;
;;;;;;;;;;;
REGI”N SIERRA;;;;;;;;;;;
AZUAY;9.784;3.617;1.740;1.373;504;6.167;1.044;3.404;1.720;;
BOLÕVAR;16.011;11.211;1.682;7.611;1.918;4.799;337;854;3.608;;
CA—AR;5.793;2.144;1.407;348;389;3.649;1.254;698;1.697;;
CARCHI;12.833;8.284;3.160;3.812;1.312;4.549;1.146;1.721;1.681;;
COTOPAXI;33.564;27.157;10.634;15.089;1.434;6.407;2.742;2.000;1.665;;
CHIMBORAZO;47.210;32.936;14.122;12.141;6.673;14.274;4.242;4.210;5.822;;
IMBABURA;17.278;13.530;2.431;9.699;1.399;3.748;1.013;1.046;1.689;;
LOJA;2.441;1.048;284;345;420;1.393;428;296;669;;
PICHINCHA;28.023;20.003;7.232;10.268;2.503;8.020;3.414;2.270;2.337;;
TUNGURAHUA;24.584;15.929;7.744;5.330;2.856;8.655;5.472;1.625;1.557;;
SANTO DOMINGO DE LOS TS¡CHILAS;8.867;3.782;663;2.979;140;5.085;1.016;3.575;494;;
;;;;;;;;;;;
REGI”N COSTA;;;;;;;;;;;
EL ORO;6.938;3.628;787;732;2.109;3.309;315;1.501;1.493;;
ESMERALDAS;12.603;8.419;2.095;5.912;412;4.185;1.148;2.534;502;;
GUAYAS;1.913;1.130;480;442;208;784;6;227;550;;
LOS RÕOS;1.699;391;43;201;148;1.307;259;628;421;;
MANABÕ;13.175;5.592;1.633;2.631;1.328;7.583;1.015;3.470;3.098;;
SANTA ELENA;;;;;;;;;;;
;;;;;;;;;;;
REGI”N AMAZ”NICA;;;;;;;;;;;
MORONA SANTIAGO;1.719;847;84;707;56;872;49;551;272;;
NAPO;363;259;54;202;3;104;25;;79;;
ORELLANA;1.257;1.194;915;;279;62;15;47;;;
PASTAZA;108;38;38;;;69;38;31;;;
SUCUMBÕOS;9.366;8.687;2.719;5.940;27;679;124;268;286;;
ZAMORA CHINCHIPE;6.166;5.710;4.601;978;131;456;119;134;203;;
;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;
ZONA NO DELIMITADA;170;158;;158;;11;;11;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;;
;;;;;;;;;;;
