;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
RegiÛn y Provincia;Pollos de engorde;;;ÕNDICE;;;;
;;;;;;;;
TOTAL NACIONAL;269.873.169;;;;;;;
REGI”N SIERRA;154.138.489;;;;;;;
REGI”N COSTA;94.828.456;;;;;;;
REGI”N AMAZ”NICA;20.906.224;;;;;;;
ZONA NO DELIMITADA;;;;;;;;
;;;;;;;;
REGI”N SIERRA;;;;;;;;
AZUAY;1.100.992;;;;;;;
BOLÕVAR;8.775;;;;;;;
CA—AR;2.038.576;;;;;;;
CARCHI;2.952.325;;;;;;;
COTOPAXI;4.494.383;;;;;;;
CHIMBORAZO;10.813.214;;;;;;;
IMBABURA;26.648.892;;;;;;;
LOJA;580.000;;;;;;;
PICHINCHA;70.028.704;;;;;;;
TUNGURAHUA;2.329.017;;;;;;;
SANTO DOMINGO DE LOS TS¡CHILAS;33.143.612;;;;;;;
;;;;;;;;
REGI”N COSTA;;;;;;;;
EL ORO;4.887.274;;;;;;;
ESMERALDAS;;;;;;;;
GUAYAS;81.784.513;;;;;;;
LOS RÕOS;1.919.500;;;;;;;
MANABÕ;5.565.169;;;;;;;
SANTA ELENA;672.000;;;;;;;
;;;;;;;;
REGI”N AMAZ”NICA;;;;;;;;
MORONA SANTIAGO;3.732.437;;;;;;;
NAPO;;;;;;;;
ORELLANA;3.000;;;;;;;
PASTAZA;17.162.959;;;;;;;
SUCUMBÕOS;7.828;;;;;;;
ZAMORA CHINCHIPE;;;;;;;;
;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;
;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;
