CULTIVOS TRANSITORIOS;;SUPERFICIE PERDIDA (Has.);;;;;;;;ÍNDICE
;;Total;Sequía;Helada;Plagas;Enfermedades;Inundación;Otra razón;;
TOTAL NACIONAL;Solo; 52.008 ; 6.490 ; 6.509 ; 10.068 ; 1.191 ; 22.785 ; 4.965 ;;
;Asociado; 3.387 ; 655 ; 391 ; 1.452 ; 309 ; 323 ; 257 ;;
;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo; 15.181 ; 399 ; 15 ; 127 ; 40 ; 13.877 ; 723 ;;
;Asociado;;;;;;;;;
ARVEJA SECA (GRANO SECO);Solo; 126 ; 14 ; 8 ; 6 ; 2 ; 30 ; 65 ;;
;Asociado; 14 ; 4 ; 4 ; 5 ;;;;;
ARVEJA TIERNA (EN VAINA);Solo; 237 ; 112 ; 6 ; 46 ; 10 ; 23 ; 41 ;;
;Asociado; 12 ; 1 ;; 11 ;;;;;
BROCOLI (REPOLLO);Solo; 17 ; 6 ;; 11 ;;;;;
;Asociado;;;;;;;;;
CEBADA (GRANO SECO);Solo; 757 ; 259 ; 390 ; 13 ; 34 ; 8 ; 54 ;;
;Asociado;;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo; 96 ; 79 ; 1 ; 17 ;;;;;
;Asociado;;;;;;;;;
FRÉJOL SECO (GRANO SECO);Solo; 2.349 ; 54 ; 726 ; 240 ; 30 ; 232 ; 1.067 ;;
;Asociado; 745 ; 184 ; 56 ; 241 ; 61 ; 133 ; 70 ;;
FRÉJOL TIERNO (EN VAINA);Solo; 728 ; 2 ; 5 ; 120 ;; 555 ; 46 ;;
;Asociado; 320 ; 36 ; 151 ; 65 ;; 64 ; 4 ;;
HABA SECA (GRANO SECO);Solo; 141 ; 23 ; 77 ; 24 ;;; 17 ;;
;Asociado; 132 ; 54 ; 0 ; 60 ;; 8 ; 10 ;;
HABA TIERNA (EN VAINA);Solo; 303 ; 94 ; 57 ; 58 ; 77 ;; 17 ;;
;Asociado; 159 ; 42 ; 48 ; 63 ; 0 ;; 4 ;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo; 14 ;; 1 ; 4 ;; 9 ;;;
;Asociado; 5 ;;;;; 5 ;;;
MAÍZ DURO SECO (GRANO SECO);Solo; 22.524 ; 2.382 ; 4.165 ; 7.791 ; 294 ; 6.363 ; 1.529 ;;
;Asociado; 519 ; 33 ; 21 ; 428 ; 8 ; 21 ; 9 ;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo; 1.085 ; 467 ; 186 ; 207 ; 118 ; 29 ; 78 ;;
;Asociado; 142 ; 47 ; 26 ; 39 ; 15 ; 12 ; 3 ;;
MAÍZ SUAVE SECO (GRANO SECO);Solo; 2.617 ; 1.327 ; 261 ; 404 ; 139 ; 137 ; 348 ;;
;Asociado; 786 ; 201 ; 75 ; 297 ; 36 ; 80 ; 97 ;;
MANÍ (GRANO DESCASCARADO);Solo; 131 ;;; 104 ;; 7 ; 20 ;;
;Asociado; 189 ;;;; 189 ;;;;
PAPA (TUBÉRCULO FRESCO);Solo; 1.829 ; 488 ; 430 ; 380 ; 312 ;; 219 ;;
;Asociado; 10 ; 10 ;;;;;;;
QUINUA (GRANO SECO);Solo; 147 ; 104 ; 12 ; 20 ;;; 12 ;;
;Asociado;;;;;;;;;
SOYA (GRANO SECO);Solo; 72 ;;;;; 72 ;;;
;Asociado;;;;;;;;;
TABACO (HOJA SECA);Solo; 153 ;;; 153 ;;;;;
;Asociado;;;;;;;;;
TOMATE RIŃÓN (FRUTA FRESCA);Solo; 51 ; 0 ; 1 ; 13 ; 33 ; 0 ; 4 ;;
;Asociado;;;;;;;;;
TRIGO (GRANO SECO);Solo; 236 ; 35 ; 23 ; 10 ;; 162 ; 5 ;;
;Asociado;;;;;;;;;
YUCA (RAÍZ FRESCA);Solo; 560 ;; 15 ; 61 ; 50 ; 56 ; 378 ;;
;Asociado; 127 ;;; 68 ;;; 59 ;;
OTROS TRANSITORIOS;Solo; 2.651 ; 646 ; 128 ; 258 ; 51 ; 1.225 ; 343 ;;
;Asociado; 228 ; 42 ; 11 ; 175 ;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2023;;;;;;;;;;
;;;;;;;;;;
