Región y Provincia;; SUPERFICIE (Ha) ;; PRODUCCIÓN (Tm) ; VENTAS (Tm) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;;281,023;273,835;1,195,203;1,162,077;;
REGIÓN SIERRA;;29,654;24,805;80,903;68,323;;
REGIÓN COSTA;;241,258;239,829;1,093,676;1,074,756;;
REGIÓN AMAZÓNICA;;10,111;9,201;20,624;18,998;;
ZONA NO DELIMITADA;;;;;;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo;1,010;941;363;126;;
;Asociado;144;62;45;0;;
BOLÍVAR;Solo;140;140;347;271;;
;Asociado;;;;;;
CAŃAR;Solo;91;66;42;24;;
;Asociado;6;6;12;9;;
CARCHI;Solo;661;512;1,432;1,341;;
;Asociado;19;19;35;35;;
COTOPAXI;Solo;220;209;365;316;;
;Asociado;;;;;;
CHIMBORAZO;Solo;455;431;1,905;1,468;;
;Asociado;;;;;;
IMBABURA;Solo;1,085;1,030;1,473;1,109;;
;Asociado;2;2;5;;;
LOJA;Solo;22,789;18,760;68,186;58,057;;
;Asociado;1,914;1,605;4,157;3,535;;
PICHINCHA;Solo;847;750;1,063;612;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;270;270;1,476;1,421;;
;Asociado;;;;;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo;3,270;3,038;7,609;6,751;;
;Asociado;175;142;160;98;;
ESMERALDAS;Solo;7,299;7,299;55,592;55,547;;
;Asociado;;;;;;
GUAYAS;Solo;33,643;33,542;125,342;123,472;;
;Asociado;2,012;2,012;6,301;6,300;;
LOS RÍOS;Solo;103,631;103,605;515,957;514,278;;
;Asociado;1,677;1,677;8,083;8,011;;
MANABÍ;Solo;85,867;84,895;358,190;347,544;;
;Asociado;301;292;952;801;;
SANTA ELENA;Solo;3,385;3,327;15,490;11,953;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo;985;809;898;492;;
;Asociado;;;;;;
NAPO;Solo;885;819;3,225;3,187;;
;Asociado;;;;;;
ORELLANA;Solo;2,658;2,640;8,325;8,184;;
;Asociado;;;;;;
PASTAZA;Solo;48;48;59;59;;
;Asociado;;;;;;
SUCUMBÍOS;Solo;4,032;3,862;5,725;5,115;;
;Asociado;428;428;1,839;1,831;;
ZAMORA CHINCHIPE;Solo;1,074;595;553;131;;
;Asociado;;;;;;
;;;;;;;
ZONA NO DELIMITADA;;;;;;;
ZONA NO DELIMITADA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÍSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;
