;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
RegiÛn y Provincia; TOTAL ; GANADO VACUNO ;;;;;;;;;ÕNDICE;;;
;; SUBTOTAL ; MACHOS ;;; SUBTOTAL ; HEMBRAS ;;;;;;;
;;; De menos de 1 aÒo de edad (Terneros) ; De 1 aÒo a menos de 2 aÒos de edad (Toretes) ; De 2 o m·s aÒos de edad (Toros)  ;; De menos de 1 aÒo de edad (Terneras) ; De 1 aÒo a menos de 2 aÒos de edad (Vaconas) ; De 2 o m·s aÒos de edad (Vacas) ;;;;;
TOTAL NACIONAL;113,399;42,433;24,230;12,394;5,809;70,966;14,567;13,814;42,585;;;;;
REGI”N SIERRA;72,219;26,940;15,867;7,294;3,779;45,280;10,871;8,923;25,486;;;;;
REGI”N COSTA;24,096;9,314;5,758;2,944;612;14,782;2,621;2,550;9,611;;;;;
REGI”N AMAZ”NICA;17,032;6,161;2,594;2,149;1,418;10,871;1,071;2,328;7,472;;;;;
ZONA NO DELIMITADA;51;18;11;7;;33;4;13;16;;;;;
;;;;;;;;;;;;;;
REGI”N SIERRA;;;;;;;;;;;;;;
AZUAY;8,857;2,968;1,600;872;496;5,889;886;1,551;3,452;;;;;
BOLÕVAR;5,025;1,994;975;762;256;3,032;716;559;1,756;;;;;
CA—AR;4,018;1,341;835;258;248;2,677;592;908;1,177;;;;;
CARCHI;4,618;1,566;1,001;362;204;3,052;754;570;1,728;;;;;
COTOPAXI;11,331;4,802;2,520;1,542;741;6,529;1,397;1,242;3,890;;;;;
CHIMBORAZO;11,839;5,280;3,545;1,116;619;6,559;1,641;1,534;3,384;;;;;
IMBABURA;4,118;1,779;432;1,080;266;2,339;369;520;1,451;;;;;
LOJA;6,382;2,196;1,464;345;387;4,186;640;698;2,848;;;;;
PICHINCHA;8,731;2,482;1,728;497;257;6,250;1,853;811;3,585;;;;;
TUNGURAHUA;5,017;1,669;1,141;280;247;3,348;1,561;221;1,567;;;;;
SANTO DOMINGO DE LOS TS¡CHILAS;2,282;863;625;180;58;1,419;461;309;649;;;;;
;;;;;;;;;;;;;;
REGI”N COSTA;;;;;;;;;;;;;;
EL ORO;4,452;1,680;979;380;321;2,772;206;571;1,995;;;;;
ESMERALDAS;3,981;2,308;1,276;895;138;1,673;300;538;835;;;;;
GUAYAS;2,735;856;574;243;39;1,879;235;333;1,311;;;;;
LOS RÕOS;887;165;156;7;2;722;45;95;582;;;;;
MANABÕ;12,013;4,294;2,773;1,408;113;7,718;1,834;1,012;4,872;;;;;
SANTA ELENA;28;11;;11;;17;;2;15;;;;;
;;;;;;;;;;;;;;
REGI”N AMAZ”NICA;;;;;;;;;;;;;;
MORONA SANTIAGO;7,717;2,033;641;901;491;5,683;337;836;4,510;;;;;
NAPO;223;152;117;;35;71;33;;38;;;;;
ORELLANA;665;244;209;35;;421;33;293;95;;;;;
PASTAZA;225;89;12;10;67;135;;6;129;;;;;
SUCUMBÕOS;2,216;1,061;337;569;155;1,154;318;241;595;;;;;
ZAMORA CHINCHIPE;5,988;2,581;1,278;634;669;3,407;351;951;2,105;;;;;
;;;;;;;;;;;;;;
ZONA NO DELIMITADA;;;;;;;;;;;;;;
ZONA NO DELIMITADA;51;18;11;7;;33;4;13;16;;;;;
;;;;;;;;;;;;;;
FUENTE: INSTITUTO NACIONAL DE ESTADÕSTICA Y CENSOS (INEC) ESPAC - 2024;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Nota: El perÌodo de referencia es desde el 1 de enero al dÌa de la entrevista;;;;;;;;;;;;;;
