;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;TOTAL NACIDOS (Machos y hembras);;;;;
;;;De menos de 1 ańo de edad (Terneros);De 1 ańo a menos de 2 ańos de edad (Toretes);De 2 o más ańos de edad (Toros) ;;De menos de 1 ańo de edad (Terneras);De 1 ańo a menos de 2 ańos de edad (Vaconas);De 2 o más ańos de edad (Vacas);;;;;;
TOTAL NACIONAL;3,860,493;1,179,000;466,565;455,128;257,307;2,681,493;517,930;647,172;1,516,391;835,158;;;;;
REGIÓN SIERRA;2,044,972;640,292;250,988;231,547;157,757;1,404,681;280,991;304,724;818,966;479,759;;;;;
REGIÓN COSTA;1,488,274;421,830;181,369;168,808;71,653;1,066,444;201,071;285,921;579,452;294,713;;;;;
REGIÓN AMAZÓNICA;327,247;116,878;34,209;54,773;27,897;210,369;35,869;56,527;117,973;60,685;;;;;
;;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;;
AZUAY;286,315;89,590;36,058;25,463;28,068;196,726;34,394;44,553;117,779;74,416;;;;;
BOLÍVAR;137,265;42,715;19,632;14,149;8,934;94,550;19,249;22,882;52,419;33,837;;;;;
CAŃAR;113,495;32,627;13,668;7,501;11,458;80,867;15,017;17,524;48,326;30,082;;;;;
CARCHI;85,209;19,901;6,879;7,551;5,471;65,308;12,452;14,884;37,972;18,107;;;;;
COTOPAXI;256,305;94,431;33,005;46,181;15,245;161,874;32,837;31,769;97,269;56,616;;;;;
CHIMBORAZO;285,009;97,400;42,338;29,590;25,472;187,610;39,506;38,654;109,450;47,125;;;;;
IMBABURA;100,933;44,318;12,581;20,911;10,826;56,615;11,446;14,345;30,825;18,086;;;;;
LOJA;174,829;53,422;21,956;16,627;14,840;121,407;25,805;26,978;68,624;48,891;;;;;
PICHINCHA;306,117;61,501;24,894;23,483;13,124;244,616;48,440;54,233;141,943;82,422;;;;;
TUNGURAHUA;185,806;70,720;27,350;25,354;18,016;115,086;27,827;20,947;66,311;42,384;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;113,689;33,667;12,626;14,739;6,303;80,022;14,018;17,956;48,049;27,793;;;;;
;;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;;
EL ORO;140,254;52,200;16,891;20,333;14,976;88,054;16,752;19,673;51,629;31,686;;;;;
ESMERALDAS;251,000;95,839;27,507;54,096;14,236;155,160;28,708;40,724;85,727;52,160;;;;;
GUAYAS;222,624;56,535;27,147;21,134;8,254;166,089;28,957;48,536;88,596;51,588;;;;;
LOS RÍOS;66,324;16,637;7,356;6,102;3,179;49,687;10,439;11,522;27,725;15,572;;;;;
MANABÍ;805,455;199,870;102,135;66,847;30,889;605,585;115,884;164,967;324,734;143,487;;;;;
SANTA ELENA;2,618;749;333;296;119;1,869;330;499;1,040;221;;;;;
;;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;;
MORONA SANTIAGO;91,595;25,711;9,847;8,147;7,717;65,884;10,985;14,125;40,774;22,407;;;;;
NAPO;25,982;6,070;1,295;4,074;702;19,911;3,818;6,385;9,708;4,490;;;;;
ORELLANA;47,332;23,166;6,787;13,413;2,966;24,166;3,611;8,856;11,699;5,598;;;;;
PASTAZA;15,501;7,353;1,706;2,658;2,989;8,149;1,510;1,558;5,081;2,883;;;;;
SUCUMBÍOS;93,994;34,509;8,221;18,996;7,292;59,485;10,227;16,617;32,641;13,091;;;;;
ZAMORA CHINCHIPE;52,843;20,069;6,353;7,485;6,232;32,774;5,719;8,986;18,068;12,216;;;;;
;;;;;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;;;;;
