;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
RegiÛn y Provincia;TOTAL;EXISTENCIA DE AVES CRIADAS EN PLANTELES AVÕCOLAS;;;;;;;ÕNDICE;;;
;;Gallinas Ponedoras;Gallinas Reproductoras;Pollos de Engorde;Avestruces;Pavos;Codornices;;;;;
TOTAL NACIONAL;35,373,655;10,844,664;1,547,973;22,241,458;;413,759;325,801;;;;;
REGI”N SIERRA;23,072,284;9,811,363;707,200;11,908,161;;336,759;308,801;;;;;
REGI”N COSTA;11,466,133;960,263;706,272;9,705,597;;77,000;17,000;;;;;
REGI”N AMAZ”NICA;835,238;73,037;134,501;627,700;;;;;;;;
;;;;;;;;;;;;
REGI”N SIERRA;;;;;;;;;;;;
AZUAY;223,637;46,000;67,500;110,137;;;;;;;;
BOLÕVAR;480;;;480;;;;;;;;
CA—AR;476,136;;;476,136;;;;;;;;
CARCHI;491,939;;36,000;378,075;;77,864;;;;;;
COTOPAXI;2,448,001;1,913,238;20,000;514,763;;;;;;;;
CHIMBORAZO;3,497,899;744,883;;2,492,215;;;260,801;;;;;
IMBABURA;1,338,950;;180,000;1,083,950;;75,000;;;;;;
LOJA;360,038;7,500;200;352,338;;;;;;;;
PICHINCHA;4,986,505;1,595,363;348,500;2,905,747;;136,895;;;;;;
TUNGURAHUA;5,860,403;5,448,679;;411,724;;;;;;;;
SANTO DOMINGO DE LOS TS¡CHILAS;3,388,297;55,700;55,000;3,182,597;;47,000;48,000;;;;;
;;;;;;;;;;;;
REGI”N COSTA;;;;;;;;;;;;
EL ORO;1,691,012;292,149;;1,381,863;;;17,000;;;;;
ESMERALDAS;600;;;600;;;;;;;;
GUAYAS;7,149,628;40,000;418,234;6,677,394;;14,000;;;;;;
LOS RÕOS;339,149;;110,738;228,411;;;;;;;;
MANABÕ;2,096,180;609,550;177,300;1,309,330;;;;;;;;
SANTA ELENA;189,564;18,564;;108,000;;63,000;;;;;;
;;;;;;;;;;;;
REGI”N AMAZ”NICA;;;;;;;;;;;;
MORONA SANTIAGO;55,500;34,000;;21,500;;;;;;;;
NAPO;105,041;;104,501;540;;;;;;;;
ORELLANA;1,550;;;1,550;;;;;;;;
PASTAZA;673,137;39,037;30,000;604,100;;;;;;;;
SUCUMBÕOS;;;;;;;;;;;;
ZAMORA CHINCHIPE;10;;;10;;;;;;;;
;;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;;
