;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
RegiÛn y Provincia;TOTAL;GANADO VACUNO;;;;;;;;ÕNDICE;;;
;;Brown Swiss;Brahman o ceb˙;Holstein Friesian;Jersey;Mestizos;Criollos;Otra raza;;;;;
TOTAL NACIONAL;4.066.930; 258.616 ; 607.356 ; 388.445 ; 121.678 ; 1.490.972 ; 948.864 ; 250.999 ;;;;;
REGI”N SIERRA;2.110.973; 117.103 ; 95.065 ; 359.526 ; 83.297 ; 751.927 ; 626.898 ; 77.157 ;;;;;
REGI”N COSTA;1.591.390; 108.320 ; 467.360 ; 12.883 ; 32.558 ; 594.951 ; 283.561 ; 91.757 ;;;;;
REGI”N AMAZ”NICA;364.567; 33.192 ; 44.931 ; 16.036 ; 5.823 ; 144.094 ; 38.406 ; 82.085 ;;;;;
;;;;;;;;;;;;;
REGI”N SIERRA;;;;;;;;;;;;;
AZUAY;349.817; 7.614 ; 10.505 ; 62.375 ; 6.265 ; 127.729 ; 131.240 ; 4.088 ;;;;;
BOLÕVAR;153.802; 23.599 ; 6.487 ; 6.727 ; 2.753 ; 73.709 ; 37.701 ; 2.825 ;;;;;
CA—AR;126.177; 2.376 ; 416 ; 14.911 ; 2.590 ; 57.322 ; 46.489 ; 2.073 ;;;;;
CARCHI;76.839; 2.623 ; 1.696 ; 28.207 ; 6.026 ; 20.900 ; 12.411 ; 4.976 ;;;;;
COTOPAXI;267.713; 9.396 ; 3.775 ; 59.877 ; 13.686 ; 93.482 ; 76.185 ; 11.312 ;;;;;
CHIMBORAZO;282.085; 23.402 ; 1.073 ; 36.717 ; 6.420 ; 93.121 ; 119.543 ; 1.810 ;;;;;
IMBABURA;113.892; 4.746 ; 7.746 ; 9.252 ; 3.553 ; 44.722 ; 36.070 ; 7.802 ;;;;;
LOJA;155.608; 17.439 ; 26.497 ; 6.773 ; 1.063 ; 44.204 ; 58.692 ; 940 ;;;;;
PICHINCHA;279.929; 10.766 ; 8.746 ; 84.936 ; 21.834 ; 93.909 ; 40.675 ; 19.063 ;;;;;
TUNGURAHUA;179.287; 9.367 ; 813 ; 40.940 ; 6.353 ; 61.378 ; 54.349 ; 6.088 ;;;;;
SANTO DOMINGO DE LOS TS¡CHILAS;125.824; 5.775 ; 27.312 ; 8.811 ; 12.754 ; 41.451 ; 13.543 ; 16.179 ;;;;;
;;;;;;;;;;;;;
REGI”N COSTA;;;;;;;;;;;;;
EL ORO;139.202; 10.752 ; 66.112 ; 12.586 ; 3.005 ; 28.308 ; 12.581 ; 5.858 ;;;;;
ESMERALDAS;272.110; 23.784 ; 78.595 ; 103 ; 6.526 ; 113.910 ; 32.694 ; 16.497 ;;;;;
GUAYAS;241.109; 9.323 ; 66.784 ; 8 ; 5.647 ; 103.362 ; 48.411 ; 7.575 ;;;;;
LOS RÕOS;75.501; 2.865 ; 24.416 ; 185 ; 881 ; 31.801 ; 12.849 ; 2.503 ;;;;;
MANABÕ;862.482; 61.345 ; 231.139 ;; 16.496 ; 317.310 ; 176.869 ; 59.324 ;;;;;
SANTA ELENA;986; 251 ; 315 ;; 3 ; 260 ; 157 ;;;;;;
;;;;;;;;;;;;;
REGI”N AMAZ”NICA;;;;;;;;;;;;;
MORONA SANTIAGO;105.569; 13.891 ; 1.137 ; 1.083 ; 936 ; 28.662 ; 9.031 ; 50.829 ;;;;;
NAPO;28.391; 1.746 ; 1.273 ; 6.989 ; 2.484 ; 12.812 ; 1.110 ; 1.976 ;;;;;
ORELLANA;53.145; 7.363 ; 10.656 ; 3.042 ; 600 ; 23.080 ; 6.343 ; 2.062 ;;;;;
PASTAZA;17.889; 1.998 ; 24 ; 835 ; 208 ; 3.538 ; 666 ; 10.619 ;;;;;
SUCUMBÕOS;99.122; 2.756 ; 30.005 ; 73 ; 1.378 ; 48.270 ; 14.934 ; 1.706 ;;;;;
ZAMORA CHINCHIPE;60.451; 5.438 ; 1.837 ; 4.013 ; 217 ; 27.731 ; 6.321 ; 14.892 ;;;;;
;;;;;;;;;;;;;
FUENTE: ESPAC - 2021;;;;;;;;;;;;;
