;;;;;;;
;;;;;;;
;;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 590.579 ; 527.347 ; 327.903 ; 327.415 ;;
REGIÓN SIERRA;; 77.005 ; 70.267 ; 44.436 ; 44.386 ;;
REGIÓN COSTA;; 454.002 ; 407.598 ; 263.274 ; 262.948 ;;
REGIÓN AMAZÓNICA;; 59.572 ; 49.483 ; 20.193 ; 20.081 ;;
;;;;;;;
REGIÓN SIERRA;;;;;;;
AZUAY;Solo; 3.828 ; 2.965 ; 604 ; 602 ;;
;Asociado; 139 ; 139 ; 6 ; 6 ;;
BOLÍVAR;Solo; 11.082 ; 10.637 ; 7.756 ; 7.754 ;;
;Asociado; 9.936 ; 9.549 ; 8.288 ; 8.288 ;;
CAÑAR;Solo; 3.255 ; 2.888 ; 742 ; 740 ;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo; 6.559 ; 5.839 ; 2.521 ; 2.518 ;;
;Asociado; 2.999 ; 2.825 ; 672 ; 672 ;;
CHIMBORAZO;Solo; 777 ; 598 ; 763 ; 763 ;;
;Asociado; 217 ; 32 ; 57 ; 57 ;;
IMBABURA;Solo; 995 ; 737 ; 447 ; 428 ;;
;Asociado; 60 ;;;;;
LOJA;Solo; 25 ;;;;;
;Asociado; 9 ;;;;;
PICHINCHA;Solo; 7.878 ; 6.853 ; 5.702 ; 5.690 ;;
;Asociado; 980 ; 522 ; 177 ; 177 ;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo; 21.879 ; 20.577 ; 13.981 ; 13.972 ;;
;Asociado; 6.387 ; 6.108 ; 2.718 ; 2.718 ;;
;;;;;;;
REGIÓN COSTA;;;;;;;
EL ORO;Solo; 9.039 ; 8.400 ; 2.918 ; 2.884 ;;
;Asociado; 4 ; 4 ; 2 ; 2 ;;
ESMERALDAS;Solo; 76.829 ; 60.678 ; 29.511 ; 29.349 ;;
;Asociado; 5.619 ; 2.769 ; 994 ; 994 ;;
GUAYAS;Solo; 111.545 ; 105.815 ; 88.761 ; 88.759 ;;
;Asociado; 4.044 ; 3.156 ; 2.624 ; 2.624 ;;
LOS RÍOS;Solo; 125.027 ; 117.546 ; 89.806 ; 89.806 ;;
;Asociado; 8.889 ; 6.911 ; 3.202 ; 3.200 ;;
MANABÍ;Solo; 101.855 ; 93.097 ; 41.131 ; 41.004 ;;
;Asociado; 10.931 ; 9.005 ; 4.064 ; 4.064 ;;
SANTA ELENA;Solo; 221 ; 217 ; 262 ; 262 ;;
;Asociado;;;;;;
;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;
MORONA SANTIAGO;Solo; 1.567 ; 1.563 ; 813 ; 811 ;;
;Asociado;;;;;;
NAPO;Solo; 9.298 ; 7.856 ; 1.450 ; 1.447 ;;
;Asociado; 126 ; 126 ; 34 ; 34 ;;
ORELLANA;Solo; 20.992 ; 19.091 ; 11.651 ; 11.644 ;;
;Asociado; 139 ; 91 ; 30 ; 30 ;;
PASTAZA;Solo; 215 ; 215 ; 21 ; 21 ;;
;Asociado;;;;;;
SUCUMBÍOS;Solo; 24.045 ; 18.267 ; 5.736 ; 5.660 ;;
;Asociado; 1.768 ; 1.026 ; 172 ; 166 ;;
ZAMORA CHINCHIPE;Solo; 1.353 ; 1.202 ; 281 ; 268 ;;
;Asociado; 67 ; 45 ; 4 ;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
