;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
çRBOLES DISPERSOS;NÕMERO DE çRBOLES;PRODUCCIÁN (Tm.);VENTAS (Tm.);;øNDICE;;;;
ACHIOTE (GRANO SECO); 3.018 ; 16 ;;;;;;;
AGUACATE (FRUTA FRESCA); 146.490 ; 6.239 ; 1.595 ;;;;;;
BANANO (FRUTA FRESCA); 558.605 ; 7.881 ; 1.187 ;;;;;;
CACAO (ALMENDRA SECA); 645.261 ; 798 ; 744 ;;;;;;
CAF (GRANO ORO); 82.397 ; 11 ; 9 ;;;;;;
CLAUDIA (FRUTA FRESCA); 42.838 ; 447 ; 257 ;;;;;;
CHIRIMOYA (FRUTA FRESCA); 15.494 ; 320 ; 24 ;;;;;;
CIRUELO (FRUTA FRESCA); 55.910 ; 655 ; 92 ;;;;;;
COCOTERO (FRUTA FRESCA); 103.429 ; 5.348 ; 125 ;;;;;;
DURAZNO (FRUTA FRESCA); 21.184 ; 157 ; 54 ;;;;;;
GUABA (FRUTA FRESCA); 132.678 ; 4.722 ; 1.023 ;;;;;;
GUANçBANA (FRUTA FRESCA); 120.213 ; 2.718 ; 380 ;;;;;;
GUAYABA (FRUTA FRESCA); 27.531 ; 438 ; 64 ;;;;;;
LIMA (FRUTA FRESCA); 7.729 ; 312 ; 1 ;;;;;;
LIMÁN (FRUTA FRESCA); 315.070 ; 13.801 ; 1.189 ;;;;;;
MANDARINA (FRUTA FRESCA); 838.680 ; 29.581 ; 13.131 ;;;;;;
MANGO (FRUTA FRESCA); 316.700 ; 18.852 ; 1.668 ;;;;;;
MANZANA (FRUTA FRESCA); 18.351 ; 349 ; 55 ;;;;;;
MARACUYç (FRUTA FRESCA); 4.501 ; 33 ;;;;;;;
NARANJA (FRUTA FRESCA); 2.127.958 ; 151.345 ; 69.207 ;;;;;;
ORITO (FRUTA FRESCA); 48.677 ; 1.008 ;;;;;;;
PAPAYA (FRUTA FRESCA); 94.580 ; 29.553 ; 589 ;;;;;;
PERA (FRUTA FRESCA); 5.271 ; 132 ; 16 ;;;;;;
PIËA (FRUTA FRESCA); 28.638 ; 29 ; 9 ;;;;;;
PLçTANO (FRUTA FRESCA); 3.098.940 ; 36.716 ; 9.335 ;;;;;;
TOMATE DE çRBOL (FRUTA FRESCA); 27.743 ; 567 ; 4 ;;;;;;
TORONJA (FRUTA FRESCA); 112.109 ; 3.646 ; 635 ;;;;;;
ZAPOTE (FRUTA FRESCA); 22.913 ; 1.744 ; 24 ;;;;;;
OTROS PERMANENTES; 163.978 ; 3.750 ; 1.203 ;;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;
