;;;;;;;;;;ÍNDICE
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Afectación del COVID-19;SI;NO;;;;;;;;
;47,89%;52,11%;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Dificultad presentada;SI;NO;;;;;;;;
Dificultad para adquirir insumos;47,84%;52,16%;;;;;;;;
Dificultad para contratar mano de obra;27,54%;72,46%;;;;;;;;
Dificultad para trabajar en sus terrenos;33,73%;66,27%;;;;;;;;
Difiultad para ofrecer su trabajoo otras fincas o productores;27,10%;72,90%;;;;;;;;
Problemas para vender, comercializar sus productos por falta de transporte;81,30%;18,70%;;;;;;;;
Problemas para vender, comercializar sus productos por ausencia de comprar;80,13%;19,87%;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Acceso a crédito durante la pandemia COVID-19;SI;NO;;;;;;;;
;5,97%;94,03%;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Dificultad presentada;SI;NO;;;;;;;;
Ministerio de Agricultura y Ganaderia;0,44%;99,56%;;;;;;;;
Secretaria de Gestión de Riesgos;0,25%;99,75%;;;;;;;;
Gobierno Central;0,78%;99,22%;;;;;;;;
Gobierno Autónomo Descentralizado Munipal;2,02%;97,98%;;;;;;;;
Gobierno Autónomo Descentralizado Provincial;0,69%;99,31%;;;;;;;;
Organización no Gubernamental;0,29%;99,71%;;;;;;;;
Otro;0,93%;99,07%;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;
