INDICADORES DEL PLAN NACIONAL DE DESARROLLO;;;;;;;;;
;;;;;;;;ÍNDICE;
EJE 2: Economía al servicio de la sociedad;;;;;;;;;
Objetivo 5: Impulsar la productividad y competitividad para el crecimiento económico sostenible, de manera redistributiva y solidaria;;;;;;;;;
"Meta: 5.3 Aumentar de 98,9 a 112 el índice de productividad agrícola
nacional a 2021.";;;;;;;;;
Indicador de apoyo 1: Superficie sembrada por tipo de semilla;;;;;;;;;
;;;;;;;;;
Cultivo;Superficie plantada por tipo de semilla (Hectáreas)-Cultivos permanentes;;;;;;;;
;Común;Mejorada;Híbrida Nacional;Híbrida Internacional;;;;;
AGUACATE (FRUTA FRESCA); 3.053 ; 4.063 ; 9 ;;;;;;
BANANO (FRUTA FRESCA); 125.428 ; 60.646 ; 4.125 ; 182 ;;;;;
CACAO (ALMENDRA SECA); 245.673 ; 322.012 ; 33.342 ; 927 ;;;;;
CAFÉ (GRANO ORO); 28.479 ; 17.804 ; 1.519 ; 295 ;;;;;
CAŃA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO); 69.616 ; 55.194 ; 1.341 ; 95 ;;;;;
CAŃA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO); 15.671 ; 2.199 ;; 0 ;;;;;
LIMÓN (FRUTA FRESCA); 5.256 ; 1.565 ; 50 ;;;;;;
MANGO (FRUTA FRESCA); 15.121 ; 3.253 ; 445 ;;;;;;
MARACUYÁ (FRUTA FRESCA); 5.326 ; 2.120 ; 13 ;;;;;;
NARANJA (FRUTA FRESCA); 13.222 ; 7.033 ; 347 ;;;;;;
ORITO (FRUTA FRESCA); 5.590 ; 271 ;;;;;;;
PALMA AFRICANA (FRUTA FRESCA); 107.686 ; 90.697 ; 34.409 ; 13.782 ;;;;;
PALMITO (TALLO FRESCO); 2.312 ; 2.327 ; 604 ;;;;;;
PIŃA (FRUTA FRESCA); 3.304 ; 1.566 ; 27 ; 162 ;;;;;
PLÁTANO (FRUTA FRESCA); 129.433 ; 30.619 ; 199 ; 11 ;;;;;
TOMATE DE ÁRBOL (FRUTA FRESCA); 1.232 ; 1.636 ; 5 ; 0 ;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;
;;;;;;;;;
Cultivo;Superficie sembrada por tipo de semilla (Hectáreas)- Cultivos transitorios;;;;;;;;
;Común;Mejorada;Certificada;Híbrida Nacional;Híbrida Internacional;;;;
ARROZ (EN CÁSCARA); 161.920 ; 54.106 ; 45.744 ;;;;;;
ARVEJA SECA (GRANO SECO); 609 ; 92 ; 28 ; 76 ;;;;;
ARVEJA TIERNA (EN VAINA); 2.737 ; 594 ; 527 ; 3 ; 10 ;;;;
BROCOLI (REPOLLO); 2.386 ; 1.591 ; 2.972 ; 143 ; 2.832 ;;;;
CEBADA (GRANO SECO); 9.032 ; 556 ; 126 ;;;;;;
CEBOLLA BLANCA (TALLO FRESCO); 7.215 ; 178 ;; 198 ;;;;;
FRÉJOL SECO (GRANO SECO); 23.334 ; 1.456 ; 427 ; 35 ;;;;;
FRÉJOL TIERNO (EN VAINA); 6.523 ; 903 ; 139 ;;;;;;
HABA SECA (GRANO SECO); 2.394 ; 77 ;;;;;;;
HABA TIERNA (EN VAINA); 6.540 ; 826 ; 37 ;;;;;;
MAÍZ DURO CHOCLO (EN CHOCLO); 1.956 ; 782 ; 84 ; 50 ;;;;;
MAÍZ DURO SECO (GRANO SECO); 80.356 ; 99.222 ; 149.012 ; 6.125 ; 51 ;;;;
MAÍZ SUAVE CHOCLO (EN CHOCLO); 15.581 ; 3.595 ; 58 ;;;;;;
MAÍZ SUAVE SECO (GRANO SECO); 46.962 ; 1.149 ; 251 ; 24 ;;;;;
MANÍ (GRANO DESCASCARADO); 7.910 ; 212 ;;;;;;;
PAPA (TUBÉRCULO FRESCO); 16.255 ; 3.113 ; 1.246 ; 12 ;;;;;
QUINUA (GRANO SECO); 1.937 ; 979 ; 41 ;;;;;;
SOYA (GRANO SECO); 13.497 ; 12.206 ; 2.257 ;;;;;;
TABACO (HOJA SECA); 2.863 ; 662 ; 125 ;;;;;;
TOMATE RIŃÓN (FRUTA FRESCA); 248 ; 726 ; 225 ; 62 ; 192 ;;;;
TRIGO (GRANO SECO); 2.324 ; 308 ; 506 ;;;;;;
YUCA (RAÍZ FRESCA); 13.934 ; 889 ;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;
