;;;;;;
TABLA  60. ;;;;;;
N⁄MERO DE CABEZAS DE GANADO EXISTENTES AL DÕA DE LA ENTREVISTA SEG⁄N OTRAS ESPECIES;;;;;;
POR REGI”N Y PROVINCIA;;;;;;
(Unidades);;;;;;
;;;;;;
RegiÛn y Provincia;GANADO DE OTRAS ESPECIES (Machos y Hembras de toda edad);;;;;ÕNDICE
;Asnal;Caballar;Mular;Caprino;;
TOTAL NACIONAL;61.155;196.886;83.008;28.391;;
REGI”N SIERRA;44.383;98.922;20.874;24.881;;
REGI”N COSTA;16.323;79.643;58.098;3.216;;
REGI”N AMAZ”NICA;448;18.321;4.036;294;;
;;;;;;
REGI”N SIERRA;;;;;;
AZUAY;693;20.195;473;752;;
BOLÕVAR;2.170;7.968;5.950;27;;
CA—AR;770;7.381;549;;;
CARCHI;124;4.680;148;191;;
COTOPAXI;10.143;11.304;3.741;1.309;;
CHIMBORAZO;17.850;11.019;1.952;922;;
IMBABURA;1.100;5.633;642;1.893;;
LOJA;5.125;9.762;2.434;17.201;;
PICHINCHA;720;13.705;1.417;2.342;;
TUNGURAHUA;4.967;4.826;753;244;;
SANTO DOMINGO DE LOS TS¡CHILAS;721;2.450;2.816;;;
;;;;;;
REGI”N COSTA;;;;;;
EL ORO;570;7.032;2.293;542;;
ESMERALDAS;1.261;19.652;13.656;671;;
GUAYAS;816;16.474;3.134;216;;
LOS RÕOS;429;5.273;2.430;;;
MANABÕ;13.242;30.905;36.575;1.350;;
SANTA ELENA;5;307;8;436;;
;;;;;;
REGI”N AMAZ”NICA;;;;;;
MORONA SANTIAGO;19;5.434;353;44;;
NAPO;153;812;393;;;
ORELLANA;58;1.501;536;;;
PASTAZA;53;1.348;13;6;;
SUCUMBÕOS;72;6.282;2.160;244;;
ZAMORA CHINCHIPE;94;2.943;582;;;
;;;;;;
FUENTE: ESPAC - 2019;;;;;;
